startTime,endTime,subVerb
2014-08-30T20:04:51,2014-08-30T20:08:21,walking
2014-08-30T20:52:30,2014-08-30T21:02:14,walking
2014-08-30T21:02:13,2014-08-30T21:24:04,walking
2014-08-30T21:24:04,2014-08-30T21:26:35,walking
2014-08-30T21:26:35,2014-08-30T21:30:35,transport
2014-08-30T21:30:35,2014-08-30T21:46:11,walking
2014-08-30T21:50:41,2014-08-30T21:51:14,walking
2014-08-30T22:17:23,2014-08-30T22:22:11,walking
2014-08-30T22:40:36,2014-08-30T22:50:49,transport
2014-08-30T22:53:35,2014-08-30T22:59:45,walking
2014-08-30T23:00:40,2014-08-30T23:08:40,walking
2014-08-30T23:57:16,2014-08-30T23:59:16,walking
2014-08-31T00:24:25,2014-08-31T00:28:25,walking
2014-08-31T00:35:54,2014-08-31T00:44:30,transport
2014-08-31T00:44:30,2014-08-31T00:56:05,walking
2014-08-31T01:29:54,2014-08-31T01:30:24,walking
2014-08-31T14:19:29,2014-08-31T14:22:35,walking
2014-08-31T14:52:49,2014-08-31T15:09:15,walking
2014-08-31T15:11:10,2014-08-31T15:15:10,walking
2014-08-31T15:43:18,2014-08-31T15:47:54,cycling
2014-08-31T15:49:18,2014-08-31T15:55:44,walking
2014-08-31T15:57:44,2014-08-31T16:04:01,cycling
2014-08-31T16:15:55,2014-08-31T16:16:55,walking
2014-08-31T17:03:54,2014-08-31T17:10:08,cycling
2014-08-31T17:10:07,2014-08-31T17:49:37,transport
2014-08-31T17:49:38,2014-08-31T17:52:47,walking
2014-08-31T18:03:36,2014-08-31T18:15:39,walking
2014-08-31T18:17:07,2014-08-31T18:17:37,walking
2014-08-31T18:24:05,2014-08-31T19:17:00,transport
2014-08-31T19:16:59,2014-08-31T19:20:08,walking
2014-08-31T19:33:41,2014-08-31T19:43:45,cycling
2014-08-31T19:47:15,2014-08-31T19:59:03,cycling
2014-08-31T19:59:03,2014-08-31T19:59:31,walking
2014-08-31T20:05:11,2014-08-31T20:33:32,cycling
2014-08-31T20:53:13,2014-08-31T20:55:50,transport
2014-08-31T20:55:49,2014-08-31T21:00:24,walking
2014-08-31T21:08:59,2014-08-31T21:09:50,walking
2014-08-31T21:11:23,2014-08-31T21:12:43,transport
2014-08-31T21:23:58,2014-08-31T21:49:04,cycling
2014-08-31T21:51:58,2014-08-31T22:08:11,cycling
2014-08-31T22:10:01,2014-08-31T22:10:35,walking
2014-08-31T22:11:01,2014-08-31T22:23:45,cycling
2014-08-31T22:26:05,2014-08-31T22:32:56,walking
2014-08-31T22:32:56,2014-08-31T22:35:06,walking
2014-08-31T22:35:06,2014-08-31T22:36:07,walking
2014-08-31T23:28:11,2014-08-31T23:38:16,walking
2014-08-31T23:43:11,2014-08-31T23:43:41,walking
2014-09-01T00:00:11,2014-09-01T00:01:11,walking
2014-09-01T00:04:38,2014-09-01T00:07:01,cycling
2014-09-01T00:10:46,2014-09-01T00:11:09,walking
2014-09-01T00:11:09,2014-09-01T00:23:45,cycling
2014-09-01T00:23:45,2014-09-01T00:35:25,walking
2014-09-01T00:41:15,2014-09-01T00:41:30,walking
2014-09-01T18:26:17,2014-09-01T18:26:47,walking
2014-09-01T18:27:58,2014-09-01T18:41:17,walking
2014-09-01T18:41:17,2014-09-01T18:57:45,transport
2014-09-01T18:57:45,2014-09-01T19:00:16,walking
2014-09-01T19:00:15,2014-09-01T19:05:18,transport
