startTime,endTime,subVerb
2018-06-04T17:15:13,2018-06-04T17:16:43,walking
2018-06-04T17:22:42,2018-06-04T17:28:54,cycling
2018-06-04T17:32:39,2018-06-04T17:34:19,walking
2018-06-04T18:04:21,2018-06-04T18:05:21,walking
2018-06-04T18:11:48,2018-06-04T18:14:26,walking
2018-06-04T18:14:26,2018-06-04T18:19:56,transport
2018-06-04T18:19:56,2018-06-04T18:22:04,walking
2018-06-04T19:16:40,2018-06-04T19:20:10,walking
2018-06-04T21:07:43,2018-06-04T21:10:13,walking
2018-06-04T22:59:05,2018-06-04T23:00:36,walking
2018-06-04T23:01:43,2018-06-04T23:04:35,transport
2018-06-04T23:04:35,2018-06-04T23:06:38,walking
2018-06-05T00:53:46,2018-06-05T00:56:46,walking
2018-06-05T00:59:18,2018-06-05T01:01:47,transport
2018-06-05T01:01:47,2018-06-05T01:04:17,cycling
2018-06-05T01:04:17,2018-06-05T01:04:47,walking
2018-06-05T01:49:00,2018-06-05T01:53:40,cycling
2018-06-05T01:54:37,2018-06-05T01:55:07,walking
2018-06-05T02:28:43,2018-06-05T02:29:13,walking
2018-06-05T03:21:33,2018-06-05T03:22:03,walking
2018-06-05T16:24:52,2018-06-05T16:25:22,walking
2018-06-05T17:05:29,2018-06-05T17:07:49,walking
2018-06-05T17:21:13,2018-06-05T17:33:24,cycling
2018-06-05T17:33:24,2018-06-05T18:12:00,transport
2018-06-05T18:12:53,2018-06-05T18:13:23,walking
2018-06-05T19:11:50,2018-06-05T19:17:59,transport
2018-06-05T19:18:59,2018-06-05T19:27:59,walking
2018-06-05T20:04:30,2018-06-05T20:08:00,walking
2018-06-05T20:22:08,2018-06-05T20:28:31,transport
2018-06-05T20:28:31,2018-06-05T20:30:33,walking
2018-06-05T20:41:32,2018-06-05T20:42:32,walking
2018-06-06T00:21:18,2018-06-06T00:21:48,walking
2018-06-06T12:36:41,2018-06-06T12:50:00,cycling
2018-06-06T12:50:53,2018-06-06T12:54:23,walking
2018-06-06T12:59:36,2018-06-06T13:03:23,walking
2018-06-06T13:03:50,2018-06-06T13:06:50,walking
2018-06-06T14:34:46,2018-06-06T14:40:39,walking
2018-06-06T16:09:25,2018-06-06T16:17:30,cycling
2018-06-06T17:56:29,2018-06-06T19:05:06,transport
2018-06-06T19:06:27,2018-06-06T19:07:57,walking
2018-06-06T20:11:06,2018-06-06T21:24:32,transport
2018-06-06T21:24:32,2018-06-06T21:24:40,walking
2018-06-06T23:33:59,2018-06-06T23:53:31,walking
2018-06-07T01:54:20,2018-06-07T01:55:50,walking
2018-06-07T02:36:42,2018-06-07T03:00:24,walking
2018-06-07T10:50:45,2018-06-07T11:01:19,transport
2018-06-07T11:01:18,2018-06-07T11:18:44,walking
2018-06-07T13:58:32,2018-06-07T14:33:01,walking
2018-06-07T21:27:39,2018-06-07T21:37:51,transport
2018-06-07T21:37:50,2018-06-07T21:40:59,walking
2018-06-07T23:19:50,2018-06-07T23:27:38,transport
2018-06-08T13:51:41,2018-06-08T13:59:17,running
2018-06-08T13:59:17,2018-06-08T14:41:50,transport
2018-06-08T14:41:49,2018-06-08T14:54:02,walking
2018-06-08T15:01:04,2018-06-08T15:41:17,transport
2018-06-08T15:41:16,2018-06-08T15:53:52,walking
2018-06-08T16:35:17,2018-06-08T16:40:37,walking
2018-06-08T16:41:23,2018-06-08T16:43:23,walking
2018-06-08T19:29:17,2018-06-08T19:32:20,walking
2018-06-08T20:00:37,2018-06-08T20:07:07,walking
2018-06-08T21:06:24,2018-06-08T21:16:30,walking
2018-06-08T21:19:05,2018-06-08T21:19:35,walking
2018-06-10T10:32:55,2018-06-10T10:43:51,cycling
2018-06-10T10:43:51,2018-06-10T10:47:09,walking
2018-06-10T10:47:09,2018-06-10T10:54:05,transport
2018-06-10T10:54:47,2018-06-10T10:58:29,walking
2018-06-10T11:00:00,2018-06-10T11:00:18,walking
2018-06-10T14:37:14,2018-06-10T14:42:39,walking
2018-06-10T14:43:25,2018-06-10T14:44:25,walking
2018-06-10T16:34:54,2018-06-10T16:47:01,cycling
