startTime,endTime,subVerb
2014-08-09T17:23:00,2014-08-09T17:26:11,walking
2014-08-09T18:47:02,2014-08-09T18:48:32,walking
2014-08-09T18:52:05,2014-08-09T18:57:12,cycling
2014-08-09T18:57:12,2014-08-09T18:58:06,walking
2014-08-09T19:00:06,2014-08-09T19:07:26,walking
2014-08-09T19:14:27,2014-08-09T19:18:08,cycling
2014-08-09T19:38:45,2014-08-09T19:42:45,walking
2014-08-09T19:50:31,2014-08-09T21:06:19,cycling
2014-08-09T21:06:19,2014-08-09T21:08:52,walking
2014-08-09T21:37:42,2014-08-09T21:40:00,walking
2014-08-09T21:43:30,2014-08-09T21:55:02,walking
2014-08-09T22:57:45,2014-08-09T22:59:45,walking
2014-08-09T23:02:15,2014-08-09T23:04:45,walking
2014-08-09T23:06:17,2014-08-09T23:21:56,walking
2014-08-10T00:43:18,2014-08-10T00:44:15,walking
2014-08-10T08:02:32,2014-08-10T08:04:02,walking
2014-08-10T08:57:00,2014-08-10T09:51:59,transport
2014-08-10T09:53:14,2014-08-10T09:54:14,walking
2014-08-10T10:03:45,2014-08-10T10:05:45,walking
2014-08-10T15:53:38,2014-08-10T15:54:41,walking
2014-08-10T16:42:55,2014-08-10T16:44:28,walking
2014-08-10T16:56:34,2014-08-10T18:04:11,transport
2014-08-10T21:03:54,2014-08-10T21:04:24,walking
2014-08-10T21:05:51,2014-08-10T21:18:44,transport
2014-08-10T21:19:31,2014-08-10T21:21:31,walking
2014-08-10T21:31:28,2014-08-10T21:38:25,transport
2014-08-10T21:45:42,2014-08-10T21:49:12,walking
2014-08-10T21:54:43,2014-08-10T21:57:34,transport
2014-08-10T22:01:46,2014-08-10T22:02:16,walking
2014-08-10T23:34:46,2014-08-10T23:35:16,walking
2014-08-11T10:53:02,2014-08-11T10:54:32,walking
2014-08-11T10:57:55,2014-08-11T11:00:38,cycling
2014-08-11T11:03:33,2014-08-11T11:07:03,walking
2014-08-11T11:37:26,2014-08-11T11:42:19,walking
2014-08-11T11:42:18,2014-08-11T11:45:37,cycling
2014-08-11T11:45:51,2014-08-11T11:46:21,walking
2014-08-11T14:33:26,2014-08-11T14:35:39,walking
2014-08-11T14:36:39,2014-08-11T16:18:31,cycling
2014-08-11T16:18:30,2014-08-11T16:20:30,walking
2014-08-11T16:20:31,2014-08-11T16:37:26,cycling
2014-08-11T16:38:26,2014-08-11T16:39:29,walking
2014-08-11T16:50:23,2014-08-11T18:33:42,cycling
2014-08-11T18:33:57,2014-08-11T18:34:57,walking
2014-08-12T09:08:48,2014-08-12T09:09:48,walking
2014-08-12T09:40:17,2014-08-12T09:45:12,cycling
2014-08-12T09:48:51,2014-08-12T09:49:21,walking
2014-08-12T10:32:14,2014-08-12T10:35:50,cycling
2014-08-12T10:37:15,2014-08-12T10:38:15,walking
2014-08-12T13:50:59,2014-08-12T13:55:04,walking
2014-08-12T13:56:32,2014-08-12T13:57:02,walking
2014-08-12T14:38:13,2014-08-12T14:43:48,walking
2014-08-12T14:57:39,2014-08-12T15:05:08,walking
2014-08-12T15:06:27,2014-08-12T15:06:57,walking
2014-08-12T20:10:05,2014-08-12T20:10:35,walking
2014-08-12T20:11:37,2014-08-12T20:13:35,cycling
2014-08-12T20:14:41,2014-08-12T20:16:11,walking
2014-08-12T20:24:37,2014-08-12T20:30:49,cycling
2014-08-12T20:31:42,2014-08-12T20:32:42,walking
2014-08-13T09:23:43,2014-08-13T09:24:25,walking
2014-08-13T09:33:01,2014-08-13T09:39:49,cycling
2014-08-13T09:39:50,2014-08-13T09:41:51,walking
2014-08-13T09:42:26,2014-08-13T09:42:43,walking
2014-08-13T10:16:35,2014-08-13T10:17:05,walking
2014-08-13T10:17:07,2014-08-13T10:21:09,cycling
2014-08-13T10:22:05,2014-08-13T10:23:05,walking
2014-08-13T13:54:31,2014-08-13T13:58:35,walking
2014-08-13T13:59:58,2014-08-13T14:00:28,walking
2014-08-13T14:24:31,2014-08-13T14:32:07,walking
2014-08-13T14:33:33,2014-08-13T14:34:03,walking
2014-08-13T15:17:20,2014-08-13T15:24:17,walking
2014-08-13T15:24:17,2014-08-13T15:25:19,walking
2014-08-13T19:40:53,2014-08-13T19:41:23,walking
2014-08-13T19:42:20,2014-08-13T19:46:31,cycling
2014-08-13T19:46:31,2014-08-13T19:47:27,walking
2014-08-14T01:47:33,2014-08-14T01:48:33,walking
2014-08-14T02:04:34,2014-08-14T02:05:04,walking
2014-08-14T08:52:42,2014-08-14T08:52:51,walking
2014-08-14T08:55:52,2014-08-14T09:02:44,cycling
